Timestamp,Name,Value
0.666789,"NT:/Preferences/ArmPosition",75
0.666789,"NT:/Preferences/ArmP",50
0.779953,"NT:/LiveWindow/.status/LW Enabled",false
0.983692,"NT:/FMSInfo/.type","FMSInfo"
0.983985,"NT:/FMSInfo/GameSpecificMessage",""
0.984221,"NT:/FMSInfo/EventName",""
0.998126,"NT:/FMSInfo/MatchNumber",<invalid>
0.998366,"NT:/FMSInfo/ReplayNumber",<invalid>
0.998547,"NT:/FMSInfo/MatchType",<invalid>
0.998825,"NT:/FMSInfo/IsRedAlliance",true
0.999394,"NT:/FMSInfo/StationNumber",<invalid>
0.999566,"NT:/FMSInfo/FMSControlData",<invalid>
2.305613,"NT:/SmartDashboard/Field/.controllable",true
2.292136,"NT:/SmartDashboard/Field/.type","Field2d"
3.388211,"NT:/SmartDashboard/Field/Robot",0;0;0
2.313154,"NT:/SmartDashboard/Field/.name","Field"
2.80713,"NT:/SmartDashboard/Controller P",2
2.807172,"NT:/SmartDashboard/Controller I",1
2.807199,"NT:/SmartDashboard/Controller D",1
3.013972,"NT:/Preferences/.type","RobotPreferences"
3.055774,"NT:/SmartDashboard/Arm Sim/.controllable",true
3.0358,"NT:/SmartDashboard/Arm Sim/.type","Mechanism2d"
3.036333,"NT:/SmartDashboard/Arm Sim/dims",60;60
3.03665,"NT:/SmartDashboard/Arm Sim/backgroundColor","#000020"
3.051993,"NT:/SmartDashboard/Arm Sim/ArmPivot/x",30
3.052017,"NT:/SmartDashboard/Arm Sim/ArmPivot/y",30
3.053853,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/.type","line"
3.054118,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/angle",0
3.054285,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/length",30
3.054518,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/color","#800080"
3.054684,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/weight",6
3.055024,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/.type","line"
3.055156,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/angle",-90
3.055371,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/length",30
3.056904,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/color","#0000FF"
3.055688,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/weight",10
3.055902,"NT:/SmartDashboard/Arm Sim/.name","Arm Sim"
3.093196,"NT:/SmartDashboard/Shooter Speed",0
3.093404,"NT:/SmartDashboard/AutoShootPower",0.5
3.388724,"NTConnection","{""connected"":true,""remote_id"":""NT3@10.36.10.213:59237"",""remote_ip"":""10.36.10.213"",""remote_port"":59237,""protocol_version"":768}"
3.420865,"NT:/FMSInfo/FMSControlData",<invalid>
3.43689,"NT:/SmartDashboard/LimelightX",0
3.4371,"NT:/SmartDashboard/LimelightY",0
3.437271,"NT:/SmartDashboard/LimelightArea",0
3.437474,"NT:/SmartDashboard/LimelightLength",0
3.439749,"NT:/SmartDashboard/Arm Current",0
3.447892,"NT:/SmartDashboard/Arm Voltage",0
6.076134,"systemTime",2023-02-03 17:42:20.189589
11.07558,"systemTime",2023-02-03 17:42:25.189085
11.675475,"NT:/FMSInfo/FMSControlData",<invalid>
11.712417,"NT:/SmartDashboard/Arm Angle",0
11.7126,"NT:/SmartDashboard/Est. ArmVolts",-0.09375
11.713122,"NT:/SmartDashboard/Arm Rate",0
14.440711,"NT:/SmartDashboard/Est. ArmVolts",-0.1875
14.460571,"NT:/SmartDashboard/Est. ArmVolts",-0.375
14.48043,"NT:/SmartDashboard/Est. ArmVolts",-0.46875
14.500646,"NT:/SmartDashboard/Est. ArmVolts",-0.65625
14.620557,"NT:/SmartDashboard/Est. ArmVolts",-0.75
14.640118,"NT:/SmartDashboard/Est. ArmVolts",-0.9375
14.659991,"NT:/SmartDashboard/Est. ArmVolts",-1.125
14.680171,"NT:/SmartDashboard/Est. ArmVolts",-1.3125
14.700636,"NT:/SmartDashboard/Est. ArmVolts",-1.5
14.720264,"NT:/SmartDashboard/Est. ArmVolts",-1.59375
14.740268,"NT:/SmartDashboard/Est. ArmVolts",-1.875
14.760043,"NT:/SmartDashboard/Est. ArmVolts",-2.25
14.780545,"NT:/SmartDashboard/Est. ArmVolts",-2.53125
14.805692,"NT:/SmartDashboard/Arm Angle",-0.0015339807878856412
14.806014,"NT:/SmartDashboard/Arm Rate",-0.16123913807305687
14.820235,"NT:/SmartDashboard/Est. ArmVolts",-2.90625
14.840638,"NT:/SmartDashboard/Est. ArmVolts",-3
14.860065,"NT:/SmartDashboard/Arm Angle",-0.0030679615757712823
14.860139,"NT:/SmartDashboard/Arm Rate",-0.043133935863073104
14.880019,"NT:/SmartDashboard/Arm Angle",-0.003834951969714103
14.880098,"NT:/SmartDashboard/Arm Rate",-0.037779195516820234
14.900146,"NT:/SmartDashboard/Arm Angle",-0.0046019423636569235
14.90022,"NT:/SmartDashboard/Arm Rate",-0.03757666170747259
14.960291,"NT:/SmartDashboard/Est. ArmVolts",-1.40625
14.980243,"NT:/SmartDashboard/Est. ArmVolts",-0.84375
15.000255,"NT:/SmartDashboard/Est. ArmVolts",-0.1875
15.020083,"NT:/SmartDashboard/Est. ArmVolts",-0.09375
15.300589,"NT:/SmartDashboard/Arm Rate",0
15.43998,"NT:/SmartDashboard/Est. ArmVolts",0
15.480297,"NT:/SmartDashboard/Est. ArmVolts",0.09448818862438202
15.500397,"NT:/SmartDashboard/Est. ArmVolts",0.28346456587314606
15.520383,"NT:/SmartDashboard/Est. ArmVolts",0.3779527544975281
15.540364,"NT:/SmartDashboard/Est. ArmVolts",0.4724409431219101
15.560536,"NT:/SmartDashboard/Est. ArmVolts",0.5669291317462921
15.580356,"NT:/SmartDashboard/Est. ArmVolts",0.7559055089950562
15.600263,"NT:/SmartDashboard/Est. ArmVolts",0.8503937423229218
15.620326,"NT:/SmartDashboard/Est. ArmVolts",1.1338582634925842
15.64066,"NT:/SmartDashboard/Est. ArmVolts",1.5118110179901123
15.661444,"NT:/SmartDashboard/Est. ArmVolts",1.7007874846458435
15.680625,"NT:/SmartDashboard/Est. ArmVolts",1.9842519164085388
15.700955,"NT:/SmartDashboard/Est. ArmVolts",2.17322838306427
