Timestamp,Name,Value
0.657799,"NT:/Preferences/ArmPosition",75
0.657799,"NT:/Preferences/ArmP",50
0.770238,"NT:/LiveWindow/.status/LW Enabled",false
0.971197,"NT:/FMSInfo/.type","FMSInfo"
0.971506,"NT:/FMSInfo/GameSpecificMessage",""
0.971744,"NT:/FMSInfo/EventName",""
0.985417,"NT:/FMSInfo/MatchNumber",<invalid>
0.985659,"NT:/FMSInfo/ReplayNumber",<invalid>
0.985832,"NT:/FMSInfo/MatchType",<invalid>
0.9861,"NT:/FMSInfo/IsRedAlliance",true
0.986638,"NT:/FMSInfo/StationNumber",<invalid>
0.986811,"NT:/FMSInfo/FMSControlData",<invalid>
1.400659,"NT:/limelight/tshort",0
1.354871,"NT:/limelight/tclass",""
1.355104,"NT:/limelight/getpipe",0
1.400704,"NT:/limelight/camerapose_targetspace",0;0;0;0;0;0
1.400727,"NT:/limelight/botpose_wpiblue",0;0;0;0;0;0
1.400743,"NT:/CameraPublisher/limelight/source","ip:http://10.36.10.11:5800"
1.356288,"NT:/SmartDashboard/limelight_PipelineName","AprilTag"
3.425953,"NT:/limelight/hb",215042
1.40076,"NT:/limelight/botpose_targetspace",0;0;0;0;0;0
1.400776,"NT:/limelight/targetpose_robotspace",0;0;0;0;0;0
1.400787,"NT:/limelight/ta",0
1.359311,"NT:/limelight/camMode",0
1.400795,"NT:/limelight/tvert",0
1.359866,"NT:/limelight/pipeline",0
3.425967,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":11.291250228881836,""ts"":3208516.404609,""v"":1}}"
1.400804,"NT:/SmartDashboard/limelight_Stream","http://10.36.10.11:5800"
1.400816,"NT:/limelight/thor",0
1.400825,"NT:/SmartDashboard/limelight_Interface","http://10.36.10.11:5801"
3.425897,"NT:/limelight/tl",12.429478645324707
3.425934,"NT:/limelight/tc",0.35686275362968445;0.35686275362968445;0.35686275362968445
1.40084,"NT:/CameraPublisher/limelight/streams","mjpg:http://10.36.10.11:5800"
1.400854,"NT:/limelight/ts",0
1.400862,"NT:/limelight/tv",0
1.40087,"NT:/limelight/tx",0
1.400877,"NT:/limelight/ty",0
1.400889,"NT:/limelight/targetpose_cameraspace",0;0;0;0;0;0
1.368895,"NT:/CameraPublisher/limelight/modes","320x240 MJPEG 22 fps"
1.400901,"NT:/limelight/tid",-1
1.400909,"NT:/limelight/tlong",0
1.400921,"NT:/limelight/botpose_wpired",0;0;0;0;0;0
1.373999,"NT:/CameraPublisher/limelight/description","limelight"
1.375274,"NT:/CameraPublisher/limelight/mode","320x240 MJPEG 22 fps"
1.375736,"NT:/limelight/stream",0
1.376946,"NT:/limelight/ledMode",0
1.378756,"NT:/limelight/llpython",
1.400936,"NT:/limelight/botpose",0;0;0;0;0;0
2.289221,"NT:/SmartDashboard/Field/.controllable",true
2.275066,"NT:/SmartDashboard/Field/.type","Field2d"
3.434917,"NT:/SmartDashboard/Field/Robot",0;0;0
2.296551,"NT:/SmartDashboard/Field/.name","Field"
2.793459,"NT:/SmartDashboard/Controller P",2
2.793508,"NT:/SmartDashboard/Controller I",1
2.793539,"NT:/SmartDashboard/Controller D",1
3.002137,"NT:/Preferences/.type","RobotPreferences"
3.046721,"NT:/SmartDashboard/Arm Sim/.controllable",true
3.024746,"NT:/SmartDashboard/Arm Sim/.type","Mechanism2d"
3.025235,"NT:/SmartDashboard/Arm Sim/dims",60;60
3.025496,"NT:/SmartDashboard/Arm Sim/backgroundColor","#000020"
3.042394,"NT:/SmartDashboard/Arm Sim/ArmPivot/x",30
3.042415,"NT:/SmartDashboard/Arm Sim/ArmPivot/y",30
3.044559,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/.type","line"
3.044975,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/angle",0
3.045185,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/length",30
3.045548,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/color","#800080"
3.045758,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/weight",6
3.046091,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/.type","line"
3.046208,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/angle",-90
3.046332,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/length",30
3.04779,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/color","#0000FF"
3.046641,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/weight",10
3.046846,"NT:/SmartDashboard/Arm Sim/.name","Arm Sim"
3.087902,"NT:/SmartDashboard/Shooter Speed",0
3.088155,"NT:/SmartDashboard/AutoShootPower",0.5
3.435625,"NTConnection","{""connected"":true,""remote_id"":""NT3@172.22.11.1:50914"",""remote_ip"":""172.22.11.1"",""remote_port"":50914,""protocol_version"":768}"
3.435625,"NTConnection","{""connected"":true,""remote_id"":""NT3@10.36.10.11:48570"",""remote_ip"":""10.36.10.11"",""remote_port"":48570,""protocol_version"":768}"
3.442675,"NT:/limelight/tl",16.294322967529297
3.442719,"NT:/limelight/tc",0.4313725531101227;0.4313725531101227;0.4313725531101227
3.44274,"NT:/limelight/hb",215043
3.442756,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":12.429478645324707,""ts"":3208531.881484,""v"":1}}"
3.457603,"NT:/limelight/tl",14.17520809173584
3.457645,"NT:/limelight/tc",0.37254902720451355;0.37254902720451355;0.37254902720451355
3.457666,"NT:/limelight/hb",215044
3.457684,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":16.294322967529297,""ts"":3208549.027057,""v"":1}}"
3.470498,"NT:/FMSInfo/MatchType",<invalid>
3.470535,"NT:/FMSInfo/FMSControlData",<invalid>
3.473356,"NT:/limelight/tl",14.210311889648438
3.473395,"NT:/limelight/tc",0.3960784375667572;0.3960784375667572;0.3960784375667572
3.473416,"NT:/limelight/hb",215045
3.473432,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":14.17520809173584,""ts"":3208564.168515,""v"":1}}"
3.489359,"NT:/limelight/tl",15.095416069030762
3.489399,"NT:/limelight/tc",0.4313725531101227;0.4313725531101227;0.4313725531101227
3.489419,"NT:/limelight/hb",215046
